,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
0,Parkwoods,43.75245000000007,-79.32990999999998,Café,Tim Hortons,43.76066827030228,-79.32636763515987
1,Parkwoods,43.75245000000007,-79.32990999999998,Coffee Shop,Tim Hortons,43.760669785183715,-79.32658927364537
2,Parkwoods,43.75245000000007,-79.32990999999998,Coffee Shop,La Notre,43.76070416249771,-79.32539551954271
3,Victoria Village,43.730570000000064,-79.31305999999995,Coffee Shop,Tim Hortons,43.725516631714754,-79.31310251366091
4,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tandem Coffee,43.65355870959944,-79.36180945913513
5,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Rooster Coffee,43.65189965670432,-79.36560912104514
6,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Starbucks,43.651613,-79.364917
7,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Sumach Espresso,43.65813540553308,-79.35951549011845
8,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Arvo,43.64996280366945,-79.36144178325522
9,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,The Black Canary Espresso Bar,43.651868733003134,-79.36850642387674
10,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Balzac's Coffee,43.649797141476185,-79.35914199644303
11,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,NEO COFFEE BAR,43.65070234158804,-79.36925939681731
12,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,Caffe Furbo,43.649969882303814,-79.35884946388191
13,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Starbucks,43.651178,-79.367955
14,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Fahrenheit Coffee,43.65238358726612,-79.37271903848271
15,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Merchants of Green Coffee,43.659916,-79.353963
16,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,The Poet Cafe,43.65063683072023,-79.37127573699792
17,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754
18,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163
19,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307
20,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122
21,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,The Cannonball,43.65829890360228,-79.35239704706817
22,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tim Hortons,43.650812751019174,-79.36780795151435
23,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,cafe 260,43.653183236880515,-79.37011452592975
24,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,It's Jenny Café,43.66193794313605,-79.36898910730264
25,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Savoury Grounds,43.656820970004496,-79.3589698353747
26,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Good Earth Coffeehouse,43.65685033174256,-79.37471866607666
27,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Starbucks,43.650690222242254,-79.37077604010982
28,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Starbucks,43.651835,-79.372655
29,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tim Hortons,43.659935,-79.3613063
30,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tim Hortons,43.6599299,-79.3659798
31,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tim Hortons,43.6533036,-79.3688346
32,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,B Espresso Bar,43.65344491966435,-79.3747047585838
33,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Second Cup,43.650385817358185,-79.37162862327261
34,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,Aroma Espresso Bar,43.6515823211226,-79.36722966397437
35,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,FUEL+,43.653193,-79.355867
36,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Café,St. Lawrence Cafe,43.649659696690044,-79.36444494070265
