,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
0,Parkwoods,43.75245000000007,-79.32990999999998,Hotel,Towns On The Ravine,43.7547545,-79.3325523
1,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102
2,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Marriott Downtown at CF Toronto Eaton Centre,43.654728444284025,-79.3824216350913
3,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,The Saint James Hotel,43.659398011456965,-79.38093249633705
4,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Chelsea Hotel,43.65849759157591,-79.38309729767929
5,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Pantages Hotel & Spa,43.65449797039222,-79.37903488923283
6,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Crew Room Eaton Chelsea Hotel,43.658094355809446,-79.38271111835563
7,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Bond Place Hotel,43.65618805882607,-79.3784520985319
8,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Ramada Plaza Toronto Downtown,43.661411,-79.376697
9,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Hilton Garden Inn,43.65732848467179,-79.37404953379514
10,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Econo Lodge Inn & Suites Downtown Toronto,43.6602859,-79.3756103
11,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Comfort Inn,43.65982301665731,-79.37520567262784
12,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Yonge Suites,43.65348247455065,-79.37967789321186
13,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Cocktail Bar,Pantages Lounge & Bar,43.654493431269564,-79.3789996004105
14,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel Pool,Deck 27 Pool & Fitness Facility,43.65816982438936,-79.38306222018876
15,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Cambridge Suites Toronto,43.65183649475983,-79.37810738045548
16,St. James Town,43.65215000000007,-79.37586999999995,Hotel,One King West Hotel & Residence,43.6491395,-79.3778763
17,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Cosmopolitan Toronto Centre Hotel & Spa,43.64906432957466,-79.37759759701125
18,St. James Town,43.65215000000007,-79.37586999999995,Hotel,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102
19,St. James Town,43.65215000000007,-79.37586999999995,Hotel,The Omni King Edward Hotel,43.64919051601911,-79.37600612640387
20,St. James Town,43.65215000000007,-79.37586999999995,Hostel,HI-Toronto Hostel,43.650623213878255,-79.37519039641123
21,St. James Town,43.65215000000007,-79.37586999999995,Hotel,The Adelaide Hotel Toronto,43.6498312,-79.3801639
22,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Hotel Victoria,43.64808421544407,-79.37758193835406
23,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Pantages Hotel & Spa,43.65449797039222,-79.37903488923283
24,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Holiday Inn Express Toronto Downtown,43.652088,-79.37279
25,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Yonge Suites,43.65348247455065,-79.37967789321186
26,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Suites at One King West Hotel Toronto,43.64907697922986,-79.3784675503318
27,St. James Town,43.65215000000007,-79.37586999999995,Hotel,Bond Place Hotel,43.65618805882607,-79.3784520985319
28,St. James Town,43.65215000000007,-79.37586999999995,Hotel,St Regis Hotel,43.64976981575342,-79.38070143942397
29,St. James Town,43.65215000000007,-79.37586999999995,Hotel,1 King West Gym,43.64874179478857,-79.3780591452993
30,St. James Town,43.65215000000007,-79.37586999999995,Cocktail Bar,Pantages Lounge & Bar,43.654493431269564,-79.3789996004105
31,St. James Town,43.65215000000007,-79.37586999999995,Hotel Pool,ST Regis Pool and Spa,43.649868,-79.380295
32,Berczy Park,43.64536000000004,-79.37305999999995,Hotel,The Omni King Edward Hotel,43.64919051601911,-79.37600612640387
33,Berczy Park,43.64536000000004,-79.37305999999995,Hotel,Hotel Novotel Toronto Centre,43.64653,-79.37425
34,Berczy Park,43.64536000000004,-79.37305999999995,Hotel,Hotel Victoria,43.64808421544407,-79.37758193835406
35,Berczy Park,43.64536000000004,-79.37305999999995,Hotel,Novotel - Champagne Suite,43.64681882206217,-79.37455185495752
36,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,DoubleTree by Hilton Hotel Toronto Downtown,43.6546083,-79.3859415
37,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,Marriott Downtown at CF Toronto Eaton Centre,43.654728444284025,-79.3824216350913
38,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,Chelsea Hotel,43.65849759157591,-79.38309729767929
39,Central Bay Street,43.65609000000007,-79.38492999999994,College Residence Hall,89 Chestnut Residence,43.654159528349275,-79.38529050784362
40,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,The Saint James Hotel,43.659398011456965,-79.38093249633705
41,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,Crew Room Eaton Chelsea Hotel,43.658094355809446,-79.38271111835563
42,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,Be SixFifty Hotel,43.65711975097656,-79.38455963134766
43,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel,Canada Suites Toronto,43.65912066508785,-79.38556541860137
44,Central Bay Street,43.65609000000007,-79.38492999999994,Hostel,Backpackers on Dundas,43.655091240000004,-79.38601208
45,Central Bay Street,43.65609000000007,-79.38492999999994,Hotel Pool,Deck 27 Pool & Fitness Facility,43.65816982438936,-79.38306222018876
46,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Shangri-La Toronto,43.64912919417502,-79.3865566853963
47,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,One King West Hotel & Residence,43.6491395,-79.3778763
48,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,The Fairmont Royal York,43.64544914616651,-79.3815076529019
49,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,The Adelaide Hotel Toronto,43.6498312,-79.3801639
50,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Hilton,43.6499459,-79.385479
51,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Cosmopolitan Toronto Centre Hotel & Spa,43.64906432957466,-79.37759759701125
52,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Sheraton Centre Toronto Hotel,43.6505944,-79.3845298
53,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Cambridge Suites Toronto,43.65183649475983,-79.37810738045548
54,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Jazz Club,The Rex Hotel Jazz & Blues Bar,43.65050475544005,-79.38857723389897
55,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Hotel Victoria,43.64808421544407,-79.37758193835406
56,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,St Regis Hotel,43.64976981575342,-79.38070143942397
57,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Dominion Ballroom,43.65096631402739,-79.38435316085815
58,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Hilton Convention Hall Toronto III,43.64973,-79.385912
59,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,"Royal Suite, Fairmont Royal York",43.64725305659947,-79.38307469732278
60,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,General Travel,Toronto PATH System,43.64990340698978,-79.3830527039004
61,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,The Strathcona Hotel,43.646201956489605,-79.38275742610278
62,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel Bar,Library Bar,43.64550019136729,-79.38160166851243
63,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Hotel,Suites at One King West Hotel Toronto,43.64907697922986,-79.3784675503318
64,"Richmond, Adelaide, King",43.649700000000045,-79.38257999999995,Restaurant,Tundra Restaurant,43.650068857878594,-79.38540891817722
