,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
0,Parkwoods,43.75245000000007,-79.32990999999998,Fast Food Restaurant,KFC,43.75438666345904,-79.3330206627504
3,Victoria Village,43.730570000000064,-79.31305999999995,German Restaurant,Vinnia Meats,43.730465,-79.30752
6,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Italian Restaurant,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347
7,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Thai Restaurant,Sukhothai,43.658444465539525,-79.36568085121628
8,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Impact Kitchen,43.65636850543279,-79.35697968750694
9,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Greek Restaurant,Souvlaki Express,43.65558391537734,-79.36443816909016
12,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Chinese Restaurant,Oriental Taste,43.655304,-79.365312
13,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Thai Restaurant,Mengrai Gourmet Thai,43.654102,-79.3668
14,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Gastropub,The Corktown Kitchen,43.653315525733355,-79.36214009485666
15,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Flame Shack,43.656844075440546,-79.35891727496157
16,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Greek Restaurant,Jimmy The Greek,43.726137741274506,-79.45210637051972
18,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,American Restaurant,JOEY,43.724131425481275,-79.45404167853917
19,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,RH Courtyard Café,43.7248736,-79.4555364
20,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Mediterranean Restaurant,Villa Madina,43.724684,-79.454172
22,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,New York Fries - Yorkdale Shopping Centre,43.72441808783238,-79.4541137073686
23,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Café,espressamente illy,43.72629982857244,-79.45226418913342
24,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Fried Chicken Joint,Popeyes Louisiana Kitchen,43.72247710118178,-79.45647214024791
25,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Mexican Restaurant,Chipotle Mexican Grill,43.725983,-79.452408
26,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,American Restaurant,The Cheesecake Factory,43.72629712488562,-79.45426225662231
29,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Sushi Restaurant,Tora Aburi Sushi,43.724257,-79.455383
30,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Fast Food Restaurant,A&W,43.725812,-79.451854
32,"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Big Smoke Burger,43.724684,-79.454172
