Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Parkwoods,43.75245000000007,-79.32990999999998,Coffee Shop,Tim Hortons,43.76066827030228,-79.32636763515987
Parkwoods,43.75245000000007,-79.32990999999998,Coffee Shop,La Notre,43.76070416249771,-79.32539551954271
Victoria Village,43.730570000000064,-79.31305999999995,Coffee Shop,Tim Hortons,43.725516631714754,-79.31310251366091
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tandem Coffee,43.65355870959944,-79.36180945913513
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Rooster Coffee,43.65189965670432,-79.36560912104514
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Starbucks,43.651613,-79.364917
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Sumach Espresso,43.65813540553308,-79.35951549011845
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Arvo,43.64996280366945,-79.36144178325522
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,The Black Canary Espresso Bar,43.651868733003134,-79.36850642387674
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Balzac's Coffee,43.649797141476185,-79.35914199644303
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,NEO COFFEE BAR,43.65070234158804,-79.36925939681731
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Caffe Furbo,43.649969882303814,-79.35884946388191
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Fahrenheit Coffee,43.65238358726612,-79.37271903848271
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Merchants of Green Coffee,43.659916,-79.353963
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,The Poet Cafe,43.65063683072023,-79.37127573699792
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,The Cannonball,43.65829890360228,-79.35239704706817
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Tim Hortons,43.650812751019174,-79.36780795151435
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,cafe 260,43.653183236880515,-79.37011452592975
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,It's Jenny Café,43.66193794313605,-79.36898910730264
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Savoury Grounds,43.656820970004496,-79.3589698353747
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Good Earth Coffeehouse,43.65685033174256,-79.37471866607666
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,B Espresso Bar,43.65344491966435,-79.3747047585838
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Second Cup,43.650385817358185,-79.37162862327261
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Aroma Espresso Bar,43.6515823211226,-79.36722966397437
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,FUEL+,43.653193,-79.355867
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,St. Lawrence Cafe,43.649659696690044,-79.36444494070265
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Coffee Shop,Coffee Time,43.64978765281583,-79.36574776041297
