Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Parkwoods,43.75245000000007,-79.32990999999998,Hotel,Towns On The Ravine,43.7547545,-79.33255229999999
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,The Grand Hotel & Suites Toronto,43.656449012077424,-79.3741100180102
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Marriott Downtown at CF Toronto Eaton Centre,43.65472844428402,-79.38242163509129
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,The Saint James Hotel,43.659398011456965,-79.38093249633705
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Chelsea Hotel,43.65849759157591,-79.3830972976793
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Pantages Hotel & Spa,43.65449797039222,-79.37903488923283
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Crew Room Eaton Chelsea Hotel,43.65809435580945,-79.38271111835563
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Bond Place Hotel,43.656188058826075,-79.37845209853191
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Ramada Plaza Toronto Downtown,43.661411,-79.376697
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Hilton Garden Inn,43.657328484671794,-79.37404953379514
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Econo Lodge Inn & Suites Downtown Toronto,43.6602859,-79.3756103
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Comfort Inn,43.65982301665731,-79.37520567262784
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Hotel,Yonge Suites,43.65348247455065,-79.37967789321186
St. James Town,43.65215000000007,-79.37586999999995,Hotel,Cambridge Suites Toronto,43.65183649475983,-79.37810738045549
St. James Town,43.65215000000007,-79.37586999999995,Hotel,One King West Hotel & Residence,43.649139500000004,-79.3778763
St. James Town,43.65215000000007,-79.37586999999995,Hotel,Cosmopolitan Toronto Centre Hotel & Spa,43.64906432957465,-79.37759759701125
St. James Town,43.65215000000007,-79.37586999999995,Hotel,The Grand Hotel & Suites Toronto,43.656449012077424,-79.3741100180102
St. James Town,43.65215000000007,-79.37586999999995,Hotel,The Omni King Edward Hotel,43.649190516019104,-79.37600612640388
