Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Parkwoods,43.75245000000007,-79.32990999999998,Restaurant,KFC,43.754386663459044,-79.3330206627504
Victoria Village,43.730570000000064,-79.31305999999995,Restaurant,Vinnia Meats,43.730465,-79.30752
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Sukhothai,43.65844446553953,-79.36568085121628
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Impact Kitchen,43.65636850543279,-79.35697968750694
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Souvlaki Express,43.65558391537734,-79.36443816909015
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Oriental Taste,43.655304,-79.365312
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Mengrai Gourmet Thai,43.654102,-79.3668
"Regent Park, Harbourfront",43.65512000000007,-79.36263999999993,Restaurant,Flame Shack,43.65684407544055,-79.35891727496157
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Jimmy The Greek,43.726137741274506,-79.45210637051972
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,JOEY,43.72413142548128,-79.45404167853917
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,RH Courtyard Café,43.7248736,-79.4555364
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Villa Madina,43.724684,-79.454172
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,New York Fries - Yorkdale Shopping Centre,43.72441808783238,-79.45411370736859
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Chipotle Mexican Grill,43.725983,-79.45240799999999
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,The Cheesecake Factory,43.72629712488562,-79.45426225662231
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Tora Aburi Sushi,43.724257,-79.455383
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,A&W,43.725812,-79.451854
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Big Smoke Burger,43.724684,-79.454172
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Amaya Express,43.72616346055785,-79.45209535764381
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Thai Express,43.724684,-79.454172
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Moxie's Classic Grill,43.72693515005538,-79.45173414534891
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Jamie's Italian,43.72668644119483,-79.45313253527623
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,KFC,43.727,-79.452
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Villa Madina Mediterranean Cuisine,43.725399933164084,-79.45174011282953
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Mac's Sushi,43.725447462107866,-79.45194721574491
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Manchu Wok,43.725421000000004,-79.452106
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Su & Shi Noodle Bar,43.7262893126134,-79.45223787782041
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Teriyaki Experience,43.7258582423669,-79.45241590476613
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Paramount Middle Eastern Cuisine,43.726185,-79.452065
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,MII Sandwich Co.,43.72617580798605,-79.4521074296338
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,Fisherman's Fish & Chips,43.72126351236251,-79.45591565829834
"Lawrence Manor, Lawrence Heights",43.72327000000006,-79.45041999999995,Restaurant,The Pickle Barrel,43.726075670184706,-79.45407126254361
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Mercatto,43.660390911898546,-79.38766421192705
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Nando's,43.66172826,-79.38639146
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Tabriz Persian Cookhouse,43.66533,-79.387484
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Sushi Box,43.66295954544153,-79.38657996066199
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,The Green Beet Cafe,43.66209577172247,-79.39415302454405
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Quick Pita,43.65879751594093,-79.39513763494666
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Gallery Grill,43.663841,-79.39430899999999
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,The Saj,43.65878737223264,-79.39520834668025
"Queen's Park, Ontario Provincial Government",43.66253000000007,-79.39187999999996,Restaurant,Veda Healthy Indian Takeout,43.659806088633616,-79.39508379136744
"Malvern, Rouge",43.811390000000074,-79.19661999999994,Restaurant,Wendy’s,43.807448419347566,-79.19905558052072
"Parkview Hill, Woodbine Gardens",43.70718000000005,-79.31191999999999,Restaurant,Harvey's,43.71096402126402,-79.30908534280502
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997794
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Kinka Izakaya Original,43.66059636632362,-79.37889120754515
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Salad King,43.65760101432665,-79.38161963017174
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Chipotle Mexican Grill,43.656859999999995,-79.38091
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Kinton Ramen,43.66063169500672,-79.37887964897601
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,JOEY Eaton Centre,43.656093654082795,-79.38187792357715
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Crepe Delicious,43.65453648827725,-79.38088885547485
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Bourbon St. Grill,43.65513514101621,-79.3808225262395
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,The Elm Tree Restaurant,43.65739749535259,-79.38376054171512
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Ethiopiques,43.656512743041546,-79.37707774884599
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Jack Astor's Bar & Grill,43.656019399920595,-79.38032551379719
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Kabul Express,43.65669146835465,-79.37664313658586
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Red Lobster,43.656328,-79.38362099999999
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Trattoria Mercatto,43.654453144701996,-79.38097410756741
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Spring Sushi,43.65625252981609,-79.38065954471074
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Milo's Pita,43.65626969248787,-79.38097430189029
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Thai On Yonge,43.65860730950853,-79.3819987566944
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Paramount Fine Foods,43.65502870847598,-79.38024513018975
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,KAKA,43.65745745164475,-79.38419169987877
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Donatello Restaurant,43.65748931028802,-79.38360495100461
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Fine Asian Bowl,43.65538660000001,-79.3803264
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Katsuya,43.65986035759321,-79.37878806223506
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Jimmy The Greek,43.654502922491595,-79.38088785568989
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Patties Express,43.65783241403575,-79.38183777062406
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Bangkok Garden,43.657870290320304,-79.38283718957292
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Adega Restaurant,43.657518864465466,-79.38346181502347
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,It's All Grk,43.65678120012301,-79.37682835542365
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,A&W,43.655583,-79.381312
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Villa Madina Mediterranean Cuisine,43.658635630931215,-79.38204453549815
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Fit for Life,43.656160859715044,-79.3836044784079
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Pita Land,43.66025329859701,-79.37710715521973
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Good View Chinese Restaurant,43.65679124992239,-79.37613917916755
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Villa Madina (at Urban Eatry),43.6555168679996,-79.38123637218324
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Hendricks Restaurant & Bar,43.653415427529595,-79.37969842137555
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Basil Box,43.65774644233037,-79.38162767228032
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Harvey's,43.660483751379054,-79.37619110160665
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Michi Roll and Sushi,43.65713695213338,-79.3782619608067
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,The PomAnar,43.65618,-79.378218
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Kyoto Katsugyu,43.656757,-79.37611899999999
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,The Hummusiah,43.657081,-79.37858
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,laziz curry kitchen,43.656776,-79.375454
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Maggies Eatery,43.658646000000005,-79.375439
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,McDonald's,43.659753,-79.38202
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Casey's Outdoor Patio,43.65711973654087,-79.374302916559
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,City Kitchen,43.65401783830981,-79.37982648714211
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Citrus,43.656258984151506,-79.37380950575493
"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Neighbor Wang | 隔壁老王,43.661526,-79.37885
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Columbus Colombian Bakery (Panaderia Colombiana),43.70917269254678,-79.45333079398473
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Miyako Sushi Restaurant,43.709111,-79.44393000000001
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Darosa,43.70696983693792,-79.453120889328
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Kokoro Sushi,43.70903063149961,-79.44405331675999
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Li Cheng Restaurant,43.708827922963025,-79.4433664738352
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,Bologna Pastificio,43.70830110989557,-79.4533224471215
Glencairn,43.70687000000004,-79.44811999999995,Restaurant,CINQUElire,43.70849721774778,-79.45371253229237
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65034000000003,-79.55361999999997,Restaurant,Far East Chinese Food,43.649243794114106,-79.54886564950131
Don Mills,43.72168000000005,-79.34351999999996,Restaurant,L5 Cafeteria,43.723019,-79.345012
Don Mills,43.72168000000005,-79.34351999999996,Restaurant,Bento Sushi,43.72226543784511,-79.33763065552685
Woodbine Heights,43.689700000000066,-79.30681999999996,Restaurant,Sultan Shawarma & Falafel,43.68822334940596,-79.30170939352254
Woodbine Heights,43.689700000000066,-79.30681999999996,Restaurant,KFC,43.6881,-79.3029
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,GEORGE Restaurant,43.653346456350356,-79.3744449051126
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Gyu-Kaku Japanese BBQ,43.65142227549792,-79.37504693687086
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Terroni,43.650927,-79.375602
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Mystic Muffin,43.652483550499326,-79.37265472845176
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,NAMI,43.65085336178512,-79.37588746641697
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Richmond Station,43.65156872562108,-79.37926594000328
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Portico,43.65185568790013,-79.37805540906518
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Leña,43.651722,-79.379205
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Chase,43.6509519820936,-79.37942201983014
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Carbon Bar,43.653367086892786,-79.37496515174824
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Carisma,43.64961671774304,-79.3754337751762
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Mirto,43.650702,-79.376307
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Sukhothai,43.6484871024991,-79.37454735245633
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Woods Restaurant & Bar,43.6493568159853,-79.37500248445933
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Fresh On Front,43.64781466405137,-79.37445276186271
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Bombay Palace,43.65117354457489,-79.37213984452025
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,John & Sons Oyster House,43.65065642537144,-79.38161285228475
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Schnitzel Queen,43.65423906004429,-79.37053284604036
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Victoria's Restaurant,43.64929834396347,-79.37643067251868
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Works Gourmet Burger Bistro,43.648742,-79.374142
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Crepe Delicious,43.65453648827725,-79.38088885547485
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997794
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Gabardine,43.650988010642315,-79.38122513218156
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Sweet Lulu,43.650556504899356,-79.38117543224396
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Trattoria Mercatto,43.654453144701996,-79.38097410756741
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Bannock,43.65210117313841,-79.38117828399939
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Mercatto,43.650243192168205,-79.38081989149896
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Sultan's Tent and Cafe Moroc,43.647927833506316,-79.37434095390434
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Paramount Fine Foods,43.65502870847598,-79.38024513018975
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Jimmy The Greek,43.654502922491595,-79.38088785568989
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Berber SOCIAL,43.64811375240584,-79.37404622657371
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Uncle Tony's Pizza and Pasta,43.648286905349515,-79.37500477402445
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Katana on Bay,43.650299,-79.38085799999999
St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Bento Nouveau,43.64872477519558,-79.37929175183983
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64857000000006,-79.57824999999997,Restaurant,Fish & Chips,43.650795461534244,-79.58021565583074
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64857000000006,-79.57824999999997,Restaurant,Hong Kong Gourmet,43.651106046724365,-79.57953214645386
The Beaches,43.67709000000008,-79.29546999999997,Restaurant,Seaspray Restaurant,43.67888788593709,-79.29816674246031
